iter	Passed	Remaining
0	1	150
1	2	139
2	3	120
3	4	107
4	5	104
5	6	101
6	7	97
7	8	100
8	10	102
9	11	102
10	12	99
11	13	99
12	14	98
13	16	101
14	17	100
15	18	97
16	19	96
17	20	94
18	21	92
19	23	92
20	24	93
21	26	92
22	27	90
23	28	89
24	29	88
25	30	87
26	31	85
27	32	83
28	32	80
29	33	78
30	34	76
31	34	74
32	35	72
33	36	70
34	37	68
35	38	68
36	39	68
37	40	66
38	41	65
39	42	63
40	43	62
41	44	61
42	44	59
43	45	58
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	50	50
50	52	50
51	53	49
52	54	48
53	55	47
54	55	45
55	56	44
56	58	43
57	59	43
58	60	42
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	36
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	73	29
71	74	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	79	21
79	81	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
