iter	Passed	Remaining
0	151	151463
1	152	76075
2	153	50937
3	153	38342
4	154	30789
5	155	25745
6	156	22154
7	156	19458
8	157	17356
9	158	15675
10	159	14298
11	159	13166
12	161	12234
13	162	11410
14	162	10688
15	163	10052
16	164	9490
17	164	8993
18	165	8547
19	166	8148
20	167	7787
21	167	7460
22	168	7160
23	169	6886
24	170	6636
25	170	6400
26	171	6182
27	172	5979
28	172	5790
29	173	5617
30	174	5464
31	176	5327
32	176	5186
33	177	5049
34	178	4920
35	179	4798
36	179	4681
37	180	4571
38	181	4465
39	181	4366
40	182	4271
41	183	4185
42	184	4099
43	184	4018
44	185	3940
45	186	3865
46	187	3793
47	187	3726
48	188	3664
49	189	3609
50	190	3551
51	191	3494
52	192	3438
53	193	3383
54	193	3331
55	194	3280
56	195	3231
57	196	3184
58	196	3137
59	197	3094
60	198	3051
61	198	3009
62	199	2969
63	200	2929
64	201	2892
65	201	2855
66	202	2819
67	203	2785
68	204	2756
69	205	2725
70	205	2694
71	206	2665
72	207	2635
73	208	2605
74	208	2576
75	209	2548
76	210	2520
77	211	2497
78	212	2472
79	212	2446
80	213	2421
81	214	2397
82	214	2369
83	215	2346
84	215	2324
85	216	2302
86	217	2283
87	218	2269
88	219	2250
89	220	2230
90	221	2210
91	222	2191
92	222	2172
93	223	2153
94	224	2135
95	224	2117
96	225	2099
97	226	2082
98	226	2065
99	227	2048
100	228	2031
101	228	2015
102	229	2000
103	230	1985
104	231	1970
105	232	1956
106	233	1945
107	234	1935
108	235	1922
109	236	1909
110	236	1896
111	237	1883
112	238	1870
113	239	1857
114	239	1846
115	240	1833
116	241	1820
117	241	1807
118	242	1796
119	243	1784
120	244	1772
121	244	1760
122	245	1749
123	246	1738
124	247	1729
125	248	1722
126	249	1714
127	250	1703
128	250	1694
129	251	1684
130	252	1673
131	253	1664
132	253	1655
133	254	1645
134	255	1636
135	256	1626
136	256	1617
137	257	1607
138	258	1599
139	258	1590
140	259	1581
141	260	1571
142	260	1562
143	261	1556
144	263	1551
145	264	1546
146	265	1538
147	265	1530
148	266	1523
149	267	1515
150	268	1507
151	268	1500
152	269	1492
153	270	1484
154	270	1477
155	271	1469
156	272	1462
157	273	1455
158	273	1448
159	274	1441
160	275	1433
161	275	1426
162	276	1420
163	277	1417
164	278	1411
165	279	1404
166	280	1398
167	281	1392
168	281	1385
169	282	1379
170	283	1373
171	284	1367
172	284	1361
173	285	1355
174	286	1349
175	286	1343
176	287	1337
177	288	1331
178	288	1325
179	289	1319
180	290	1313
181	291	1308
182	292	1304
183	293	1300
184	293	1295
185	294	1289
186	295	1284
187	296	1279
188	296	1274
189	297	1268
190	298	1263
191	299	1258
192	299	1253
193	300	1248
194	301	1243
195	301	1238
196	302	1233
197	303	1228
198	303	1223
199	304	1218
200	305	1213
201	306	1208
202	307	1205
203	308	1204
204	309	1200
205	310	1196
206	311	1192
207	311	1187
208	312	1183
209	313	1178
210	313	1174
211	314	1169
212	315	1165
213	316	1161
214	316	1156
215	317	1152
216	318	1148
217	318	1144
218	319	1139
219	320	1135
220	321	1131
221	322	1129
222	323	1127
223	324	1123
224	325	1120
225	326	1116
226	326	1112
227	327	1109
228	328	1105
229	329	1102
230	329	1098
231	330	1094
232	331	1090
233	331	1086
234	332	1082
235	333	1079
236	334	1075
237	334	1071
238	335	1068
239	336	1065
240	337	1064
241	338	1061
242	339	1058
243	340	1054
244	341	1051
245	341	1047
246	342	1044
247	343	1041
248	344	1037
249	344	1034
250	345	1031
251	346	1027
252	346	1024
253	347	1020
254	348	1017
255	349	1014
256	349	1011
257	350	1008
258	351	1006
259	353	1004
260	353	1002
261	354	999
262	355	996
263	356	993
264	356	989
265	357	986
266	358	983
267	359	980
268	359	977
269	360	974
270	361	971
271	361	968
272	362	965
273	363	962
274	363	959
275	364	956
276	365	953
277	366	951
278	367	949
279	368	947
280	369	944
281	369	941
282	370	938
283	371	936
284	372	933
285	372	930
286	373	927
287	374	925
288	374	922
289	375	919
290	376	916
291	376	913
292	377	911
293	378	908
294	379	905
295	379	903
296	380	900
297	381	899
298	382	896
299	383	894
300	384	892
301	384	889
302	385	886
303	386	884
304	386	881
305	387	879
306	388	876
307	389	874
308	389	871
309	390	869
310	391	866
311	391	864
312	392	861
313	393	859
314	394	856
315	394	854
316	395	852
317	396	851
318	398	850
319	399	848
320	400	846
321	400	844
322	401	841
323	402	839
324	403	837
325	403	835
326	404	832
327	405	830
328	406	828
329	406	826
330	407	824
331	408	821
332	409	819
333	410	817
334	411	817
335	412	815
336	413	813
337	414	811
338	415	809
339	415	807
340	416	805
341	417	803
342	418	801
343	419	799
344	419	796
345	420	794
346	421	792
347	421	790
348	422	788
349	423	786
350	424	783
351	424	781
352	425	780
353	426	778
354	427	777
355	428	775
356	429	773
357	430	771
358	430	769
359	431	767
360	432	765
361	433	763
362	434	761
363	434	759
364	435	757
365	436	755
366	437	753
367	437	751
368	438	749
369	439	747
370	440	746
371	441	744
372	442	743
373	443	741
374	444	740
375	444	738
376	445	736
377	446	734
378	447	732
379	448	731
380	448	729
381	449	727
382	450	725
383	451	723
384	451	721
385	452	719
386	453	717
387	453	715
388	454	713
389	455	712
390	456	711
391	457	709
392	458	708
393	459	706
394	460	704
395	460	702
396	461	700
397	462	699
398	462	697
399	463	695
400	464	693
401	465	691
402	465	689
403	466	688
404	467	686
405	467	684
406	468	682
407	469	681
408	470	679
409	471	678
410	472	676
411	472	675
412	473	673
413	474	672
414	475	670
415	476	668
416	476	666
417	477	664
418	478	663
419	478	661
420	479	659
421	480	657
422	481	656
423	481	654
424	482	652
425	483	651
426	483	649
427	484	647
428	485	646
429	487	645
430	488	644
431	489	643
432	489	641
433	490	639
434	491	638
435	492	636
436	492	634
437	493	633
438	494	631
439	494	629
440	495	628
441	496	626
442	497	624
443	497	623
444	498	621
445	499	620
446	500	618
447	501	617
448	502	616
449	503	614
450	503	613
451	504	611
452	505	610
453	505	608
454	506	606
455	507	605
456	508	603
457	508	602
458	509	600
459	510	599
460	511	597
461	511	595
462	512	594
463	513	592
464	513	591
465	515	590
466	516	589
467	517	587
468	517	586
469	518	584
470	519	583
471	520	581
472	521	580
473	522	579
474	523	578
475	523	576
476	524	575
477	525	573
478	526	572
479	526	570
480	527	569
481	528	567
482	529	566
483	529	565
484	531	563
485	532	563
486	533	561
487	534	560
488	535	559
489	536	557
490	536	556
491	537	555
492	538	553
493	539	552
494	540	550
495	540	549
496	541	548
497	542	546
498	543	545
499	543	543
500	544	542
501	545	541
502	546	540
503	547	539
504	548	537
505	549	536
506	550	535
507	551	533
508	551	532
509	552	531
510	553	529
511	554	528
512	555	527
513	555	525
514	556	524
515	557	522
516	558	521
517	558	519
518	559	518
519	561	518
520	562	517
521	563	516
522	564	514
523	565	513
524	566	512
525	566	510
526	567	509
527	568	508
528	569	506
529	570	505
530	570	504
531	571	502
532	572	501
533	572	499
534	573	498
535	575	497
536	576	496
537	578	496
538	579	495
539	580	494
540	580	492
541	581	491
542	582	490
543	583	488
544	584	487
545	584	486
546	585	485
547	586	483
548	587	482
549	587	481
550	588	479
551	589	478
552	591	477
553	592	477
554	593	476
555	594	474
556	595	473
557	596	472
558	596	470
559	597	469
560	598	468
561	599	467
562	600	466
563	601	464
564	601	463
565	602	462
566	603	460
567	604	459
568	606	459
569	607	458
570	608	457
571	609	455
572	610	454
573	610	453
574	611	452
575	612	450
576	613	449
577	614	448
578	615	447
579	615	445
580	616	444
581	617	443
582	617	442
583	619	440
584	620	440
585	621	439
586	623	438
587	624	437
588	624	436
589	625	434
590	626	433
591	627	432
592	628	431
593	629	429
594	629	428
595	630	427
596	631	426
597	631	424
598	632	423
599	634	422
600	635	421
601	637	421
602	638	420
603	639	418
604	639	417
605	640	416
606	641	415
607	642	413
608	642	412
609	643	411
610	644	410
611	645	409
612	646	407
613	646	406
614	647	405
615	649	404
616	650	403
617	651	402
618	652	401
619	653	400
620	654	399
621	655	398
622	656	397
623	656	395
624	657	394
625	658	393
626	659	392
627	659	390
628	660	389
629	661	388
630	662	387
631	663	386
632	664	385
633	665	383
634	665	382
635	666	381
636	668	380
637	669	379
638	670	378
639	671	377
640	672	376
641	673	375
642	673	374
643	674	373
644	675	371
645	676	370
646	677	369
647	678	368
648	679	367
649	681	366
650	681	365
651	682	364
652	683	363
653	684	362
654	685	360
655	685	359
656	686	358
657	687	357
658	688	356
659	688	354
660	689	353
661	690	352
662	691	351
663	691	350
664	692	349
665	694	348
666	695	347
667	696	346
668	697	345
669	698	344
670	699	342
671	700	341
672	701	340
673	701	339
674	702	338
675	703	337
676	704	335
677	704	334
678	705	333
679	706	332
680	707	331
681	708	330
682	711	330
683	712	328
684	712	327
685	713	326
686	714	325
687	715	324
688	716	323
689	716	322
690	717	320
691	718	319
692	718	318
693	719	317
694	720	316
695	721	315
696	722	314
697	723	313
698	725	312
699	726	311
700	727	310
701	727	308
702	728	307
703	729	306
704	730	305
705	731	304
706	731	303
707	732	302
708	733	301
709	734	299
710	734	298
711	735	297
712	737	296
713	739	296
714	740	295
715	741	294
716	742	293
717	743	291
718	744	290
719	744	289
720	745	288
721	746	287
722	747	286
723	748	285
724	748	284
725	749	283
726	750	281
727	752	281
728	753	280
729	755	279
730	756	278
731	757	277
732	757	276
733	758	274
734	759	273
735	760	272
736	760	271
737	761	270
738	762	269
739	763	268
740	763	267
741	764	265
742	765	264
743	766	263
744	767	262
745	769	261
746	770	260
747	771	259
748	771	258
749	772	257
750	773	256
751	774	255
752	775	254
753	775	253
754	776	252
755	777	250
756	778	249
757	778	248
758	779	247
759	780	246
760	781	245
761	783	244
762	784	243
763	785	242
764	786	241
765	787	240
